agent_id,archetype_id,age,sex,race,marital_status,education,income,housing
1,363,30,Male,Hispanic or Latino origin (of any race),"Now married, except separated",Some college or associate's degree,"$35,000 to $49,999",Householder lived in owner-occupied housing units
2,902,47,Female,Asian,"Now married, except separated",Graduate or professional degree,"$15,000 to $24,999",Householder lived in renter-occupied housing units
3,491,20,Female,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
4,513,8,Male,Asian,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
5,698,28,Female,Asian and Middle Eastern and Black or African American,Never married,Some college or associate's degree,"$25,000 to $34,999",Householder lived in owner-occupied housing units
6,477,38,Female,Asian and White and Pacific Islander,Never married,High school graduate (includes equivalency),"$75,000 or more",Householder lived in owner-occupied housing units
7,914,50,Male,Asian,Never married,Graduate or professional degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
8,116,66,Male,White,Divorced or separated,Some college or associate's degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
9,605,23,Male,Asian,Never married,Some college or associate's degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
10,580,0,Female,Asian,Never married,Bachelor's degree,"$10,000 to $14,999",Householder lived in owner-occupied housing units
11,167,1,Female,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
12,601,36,Female,Black or African American,Never married,Less than high school graduate,"$35,000 to $49,999",Householder lived in owner-occupied housing units
13,517,17,Male,Hispanic or Latino origin (of any race),Never married,Less than high school graduate,"$65,000 to $74,999",Householder lived in renter-occupied housing units
14,799,6,Female,Asian,Never married,Some college or associate's degree,"$75,000 or more",Householder lived in renter-occupied housing units
15,446,68,Female,Pacific Islander and Black or African American,"Now married, except separated",Some college or associate's degree,"$65,000 to $74,999",Householder lived in owner-occupied housing units
16,19,50,Male,Asian,"Now married, except separated",Graduate or professional degree,"$25,000 to $34,999",Householder lived in renter-occupied housing units
17,789,50,Male,White,Never married,Bachelor's degree,"$50,000 to $64,999",Householder lived in renter-occupied housing units
18,5,67,Male,White,"Now married, except separated",Bachelor's degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
19,555,57,Male,Asian,"Now married, except separated",Less than high school graduate,"$25,000 to $34,999",Householder lived in owner-occupied housing units
20,401,55,Male,Hispanic or Latino and Black or African American and Native American,Divorced or separated,Less than high school graduate,"$75,000 or more",Householder lived in owner-occupied housing units
21,797,32,Male,White,"Now married, except separated",High school graduate (includes equivalency),"$1 to $9,999 or loss",Householder lived in owner-occupied housing units
22,263,49,Male,Hispanic or Latino origin (of any race),"Now married, except separated",Graduate or professional degree,"$50,000 to $64,999",Householder lived in owner-occupied housing units
23,197,27,Male,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
24,336,44,Male,Black or African American,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
25,540,28,Female,Asian,Never married,Bachelor's degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
26,772,3,Male,Asian,"Now married, except separated",Bachelor's degree,"$25,000 to $34,999",Householder lived in renter-occupied housing units
27,921,29,Male,Pacific Islander and Middle Eastern,"Now married, except separated",Bachelor's degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
28,375,51,Male,White,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
29,322,0,Male,Black or African American,"Now married, except separated",Less than high school graduate,"$1 to $9,999 or loss",Householder lived in owner-occupied housing units
30,433,74,Male,Black or African American and Native American and White,Divorced or separated,Graduate or professional degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
31,871,9,Female,Asian,"Now married, except separated",Bachelor's degree,"$50,000 to $64,999",Householder lived in owner-occupied housing units
32,201,0,Female,Black or African American,Never married,Some college or associate's degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
33,312,0,Male,Pacific Islander and Middle Eastern,Never married,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
34,897,0,Female,Hispanic or Latino origin (of any race),"Now married, except separated",Some college or associate's degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
35,77,5,Male,White,Never married,Bachelor's degree,"$25,000 to $34,999",Householder lived in owner-occupied housing units
36,618,17,Male,Asian,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
37,468,38,Female,Asian,Never married,High school graduate (includes equivalency),"$75,000 or more",Householder lived in renter-occupied housing units
38,805,8,Male,White,Widowed,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
39,955,48,Female,Hispanic or Latino origin (of any race),Never married,Bachelor's degree,"$15,000 to $24,999",Householder lived in renter-occupied housing units
40,417,17,Female,Pacific Islander and White and Native American,Never married,Bachelor's degree,"$1 to $9,999 or loss",Householder lived in renter-occupied housing units
41,3,64,Female,Asian,Never married,Graduate or professional degree,"$50,000 to $64,999",Householder lived in renter-occupied housing units
42,435,30,Male,White,Widowed,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
43,170,10,Male,Asian,"Now married, except separated",Bachelor's degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
44,781,73,Female,Asian,Never married,Less than high school graduate,"$75,000 or more",Householder lived in owner-occupied housing units
45,229,39,Female,White,"Now married, except separated",Some college or associate's degree,"$75,000 or more",Householder lived in renter-occupied housing units
46,433,72,Male,Middle Eastern and Asian,Divorced or separated,Graduate or professional degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
47,321,9,Male,Hispanic or Latino origin (of any race),"Now married, except separated",High school graduate (includes equivalency),"$10,000 to $14,999",Householder lived in renter-occupied housing units
48,996,49,Female,White,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
49,22,64,Male,Asian,"Now married, except separated",Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
50,244,61,Female,Hispanic or Latino origin (of any race),Never married,High school graduate (includes equivalency),"$75,000 or more",Householder lived in owner-occupied housing units
51,127,27,Female,Hispanic or Latino origin (of any race),Never married,Less than high school graduate,"$75,000 or more",Householder lived in renter-occupied housing units
52,539,15,Male,White,Never married,Some college or associate's degree,"$75,000 or more",Householder lived in renter-occupied housing units
53,668,31,Male,White,Never married,Less than high school graduate,"$35,000 to $49,999",Householder lived in renter-occupied housing units
54,768,38,Female,White,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
55,631,60,Female,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
56,743,53,Female,Asian,Divorced or separated,Graduate or professional degree,"$10,000 to $14,999",Householder lived in renter-occupied housing units
57,20,17,Male,Asian and White,Never married,High school graduate (includes equivalency),"$75,000 or more",Householder lived in owner-occupied housing units
58,152,66,Male,White,Never married,High school graduate (includes equivalency),"$75,000 or more",Householder lived in owner-occupied housing units
59,206,58,Female,Native American and Hispanic or Latino,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in renter-occupied housing units
60,447,52,Female,Asian,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
61,995,38,Female,Asian,"Now married, except separated",High school graduate (includes equivalency),"$25,000 to $34,999",Householder lived in owner-occupied housing units
62,434,48,Male,White,Divorced or separated,Bachelor's degree,"$15,000 to $24,999",Householder lived in renter-occupied housing units
63,496,60,Male,White,Never married,Some college or associate's degree,"$25,000 to $34,999",Householder lived in renter-occupied housing units
64,693,38,Male,Asian,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
65,127,31,Female,Hispanic or Latino origin (of any race),Never married,Less than high school graduate,"$75,000 or more",Householder lived in renter-occupied housing units
66,612,35,Female,Asian,Never married,Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
67,651,34,Female,White,Never married,Bachelor's degree,"$10,000 to $14,999",Householder lived in owner-occupied housing units
68,529,48,Male,White,Never married,Graduate or professional degree,"$75,000 or more",Householder lived in owner-occupied housing units
69,382,65,Male,Asian,Widowed,Bachelor's degree,"$35,000 to $49,999",Householder lived in owner-occupied housing units
70,491,18,Female,White,Never married,Bachelor's degree,"$75,000 or more",Householder lived in owner-occupied housing units
71,270,9,Female,Asian,"Now married, except separated",Bachelor's degree,"$15,000 to $24,999",Householder lived in owner-occupied housing units
72,320,31,Male,White and Native American,"Now married, except separated",Graduate or professional degree,"$35,000 to $49,999",Householder lived in renter-occupied housing units
73,693,39,Male,Asian,"Now married, except separated",Bachelor's degree,"$75,000 or more",Householder lived in renter-occupied housing units
